"source","num_articles","earliest","latest","min","max","avg","num_alerts"
"1815.ch",132,"2014-01-04T12:53:00Z","2019-02-17T12:26:00Z",-0.342857152,0.51111114,0.12553163243203677,6
"20 Minuten",595,"2014-01-13T20:51:00Z","2018-12-31T14:00:00Z",-0.406159431,0.540000021,0.04865819114943215,36
"20 Minutes",59,"2019-01-02T19:31:00Z","2019-03-12T13:46:00Z",-0.38499999,0.583333313,0.022898520175288668,4
"24matins.de",1,"2019-03-06T20:22:00Z","2019-03-06T20:22:00Z",-0.0711538494,-0.0711538494,-0.07115384936332703,0
Aargauer Zeitung,1330,"2014-01-06T19:19:00Z","2018-12-31T03:40:00Z",-0.528571427,0.520588219,0.08295660931774576,54
Abendzeitung München,7,"2015-09-15T15:49:00Z","2019-02-05T20:08:00Z",0.0265625007,0.50999999,0.21127441791551455,0
aerzteblatt.de,2,"2017-03-27T17:05:00Z","2018-09-27T15:37:00Z",0.0528571419,0.0878378376,0.0703474897891283,0
Agence France Presse (AFP),2,"2016-09-25T18:08:00Z","2017-10-26T12:01:00Z",-0.0450000018,0.00173611112,-0.021631945332046598,0
allgemeine-zeitung.de,1,"2017-12-31T04:39:00Z","2017-12-31T04:39:00Z",-0.0331560299,-0.0331560299,-0.033156029880046844,0
amerika21,22,"2014-05-08T08:21:00Z","2019-01-27T03:17:00Z",-0.192499995,0.278333336,0.07124123200562528,5
APA-OTS,6,"2017-03-24T11:15:00Z","2018-06-28T12:51:00Z",-0.00937500037,0.300000012,0.1060229716822505,1
apd.media,3,"2017-07-02T00:17:00Z","2018-06-24T12:14:00Z",-0.0409090891,0.267283946,0.08125538689394791,0
appenzell24.ch,5,"2015-08-28T13:02:00Z","2015-11-18T09:19:00Z",0,0.879999995,0.2232222208753228,0
Arzte Zeitung,8,"2014-12-17T04:39:00Z","2019-03-04T17:10:00Z",-0.0369565226,0.234821424,0.09634078328963369,0
Augsburger Allgemeine Community,10,"2016-06-06T18:41:00Z","2018-11-25T20:51:00Z",-0.15625,0.209999993,0.040102930180728434,1
