"word","AW_POS","pep_id","searchname","PEP_POS","score","word_count","pos_percent","title","publishedat","polarity","art_id","url","category","author","shares"
waffenhandel,356,67,Bernhard Guhl,354,2,1214,29,Syriens Bevölkerung leidet - was tut die Schweiz?,"2018-03-09T06:38:00Z",0.0720370337,5956,https://www.tagesanzeiger.ch/ausland/naher-osten-und-afrika/Syriens-Bevoelkerung-leidet--was-tut-die-Schweiz/story/18988251,,,{}
betrug,694,74,Lorenz Hess,602,92,834,72,Dieses Grüppchen nimmt es gegen alle bürgerlichen Parteien auf,"2018-04-04T16:50:00Z",0.0486111119,6033,https://www.derbund.ch/schweiz/standard/Dieses-Grueppchen-nimmt-es-gegen-alle-buergerlichen-Parteien-auf/story/31319333,,,{}
betrug,293,60,Maya Graf,254,39,834,30,Dieses Grüppchen nimmt es gegen alle bürgerlichen Parteien auf,"2018-04-04T16:50:00Z",0.0486111119,6033,https://www.derbund.ch/schweiz/standard/Dieses-Grueppchen-nimmt-es-gegen-alle-buergerlichen-Parteien-auf/story/31319333,,,{}
beeinflussung,157,44,Doris Fiala,140,17,742,19,Kaviar-Diplomatie im Europarat,"2018-04-23T13:35:00Z",0.0397727266,7532,https://www.tagesanzeiger.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
korruption,533,169,Eduard Lintner,462,71,742,62,Kaviar-Diplomatie im Europarat,"2018-04-23T13:35:00Z",0.0397727266,7532,https://www.tagesanzeiger.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
korruption,378,44,Doris Fiala,313,65,742,42,Kaviar-Diplomatie im Europarat,"2018-04-23T13:35:00Z",0.0397727266,7532,https://www.tagesanzeiger.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
geldwäsche,380,44,Doris Fiala,313,67,742,42,Kaviar-Diplomatie im Europarat,"2018-04-23T13:35:00Z",0.0397727266,7532,https://www.tagesanzeiger.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
geldwäsche,464,133,Carlo Sommaruga,328,136,643,51,Ueli Maurers Zweifel an der heiklen Reise nach Saudi-Arabien | Luzerner Zeitung,"2018-10-20T03:15:00Z",-0.0376016274,8527,https://www.luzernerzeitung.ch/schweiz/die-schweiz-im-dilemma-ld.1062981,news/Politics,Henry Habegger,{}
betrug,190,78,Christian Imark,186,4,302,62,Berner Oberländer - Wo die staatlichen Milliarden hinfliessen,"2019-02-06T18:45:00Z",0.111764707,4314,https://berneroberlaender.ch/articles/19299139,news/Business,Tamedia Espace Ag,{}
betrug,356,14,Martin Bäumle,335,21,563,60,"Umweltrating des Schweizer Parlaments: SP macht Grünen Konkurrenz, Mitte-Parteien fallen zurück - Blick","2017-11-20T14:40:00Z",0.0573529415,9457,https://www.blick.ch/news/politik/umweltrating-des-schweizer-parlaments-sp-macht-gruenen-konkurrenz-mitte-parteien-fallen-zurueck-id7623883.html,news/Politics,Julien Duc,"{""facebook"": 24}"
korruption,479,71,Alfred Heer,457,22,606,75,Das Fähnlein der zwölf Aufrechten | NZZ,"2017-10-13T06:53:00Z",-0.118817203,10043,https://www.nzz.ch/schweiz/das-faehnlein-der-zwoelf-aufrechten-ld.1321694,news/Politics,Christina Neuhaus,"{""facebook"": 62}"
geldwäscherei,347,44,Doris Fiala,233,114,870,27,"Das Verhältnis zur EU, die neuen Krankenkassenprämien und Frauen als Bundesräte in den Sonntagszeitungen","2017-09-24T05:30:00Z",0.0607843138,10051,https://www.swissinfo.ch/ger/alle-news-in-kuerze/das-verhaeltnis-zur-eu--die-neuen-krankenkassenpraemien-und-frauen-als-bundesraete-in-den-sonntagszeitungen/43543228,news/Business,,{}
betrug,89,51,Ulrich Giezendanner,77,12,627,12,Bund verkaufte die Pleite-Flotte im dümmsten Moment - ihm entgingen Millionen,"2017-09-11T04:53:00Z",0.0755555555,10150,https://www.aargauerzeitung.ch/schweiz/bund-verkaufte-die-pleite-flotte-im-duemmsten-moment-ihm-entgingen-millionen-131698482,news/Business,Henry Habegger,"{""facebook"": 21}"
korruption,151,113,Hans-Peter Portmann,99,52,450,22,"Zürcher Politiker ärgern sich über Milieu-Leck bei der Kapo: ""Absolut indiskutabel und ungeheuerlich"" - Blick","2017-11-25T20:22:00Z",0.0690789446,10198,https://www.blick.ch/news/schweiz/zuerich/zuercher-politiker-aergern-sich-ueber-milieu-leck-bei-der-kapo-absolut-indiskutabel-und-ungeheuerlich-id7644769.html,,Johannes Hillig,{}
beeinflussung,86,169,Eduard Lintner,6,80,483,1,"Bestechungsgelder - ""Starker Verdacht"" auf Korruption im Europarat durch Aserbaidschan","2018-04-23T05:33:00Z",-0.0960317478,7524,https://text.derstandard.at/2000078446461/Starker-Verdacht-auf-Korruption-im-Europarat-durch-Aserbaidschan?ref=rss,,,{}
korruption,188,169,Eduard Lintner,167,21,483,35,"Bestechungsgelder - ""Starker Verdacht"" auf Korruption im Europarat durch Aserbaidschan","2018-04-23T05:33:00Z",-0.0960317478,7524,https://text.derstandard.at/2000078446461/Starker-Verdacht-auf-Korruption-im-Europarat-durch-Aserbaidschan?ref=rss,,,{}
